043  00211 |Loss: 1.405 | Acc: 40.625% 
043  00212 |Loss: 1.501 | Acc: 32.812% 
043  00213 |Loss: 1.476 | Acc: 32.292% 
043  00214 |Loss: 1.429 | Acc: 35.938% 
043  00215 |Loss: 1.448 | Acc: 36.000% 
044  00216 |Loss: 1.472 | Acc: 37.500% 
044  00217 |Loss: 1.498 | Acc: 31.250% 
044  00218 |Loss: 1.435 | Acc: 32.292% 
044  00219 |Loss: 1.421 | Acc: 36.719% 
044  00220 |Loss: 1.466 | Acc: 34.667% 
045  00221 |Loss: 1.280 | Acc: 37.500% 
045  00222 |Loss: 1.464 | Acc: 34.375% 
045  00223 |Loss: 1.448 | Acc: 33.333% 
045  00224 |Loss: 1.444 | Acc: 32.031% 
045  00225 |Loss: 1.465 | Acc: 30.667% 
046  00226 |Loss: 1.510 | Acc: 31.250% 
046  00227 |Loss: 1.448 | Acc: 28.125% 
046  00228 |Loss: 1.455 | Acc: 27.083% 
046  00229 |Loss: 1.439 | Acc: 30.469% 
046  00230 |Loss: 1.461 | Acc: 28.000% 
047  00231 |Loss: 1.390 | Acc: 25.000% 
047  00232 |Loss: 1.410 | Acc: 20.312% 
047  00233 |Loss: 1.467 | Acc: 20.833% 
047  00234 |Loss: 1.451 | Acc: 25.000% 
047  00235 |Loss: 1.427 | Acc: 27.333% 
048  00236 |Loss: 1.460 | Acc: 34.375% 
048  00237 |Loss: 1.442 | Acc: 26.562% 
048  00238 |Loss: 1.470 | Acc: 25.000% 
048  00239 |Loss: 1.463 | Acc: 26.562% 
048  00240 |Loss: 1.433 | Acc: 26.667% 
049  00241 |Loss: 1.284 | Acc: 34.375% 
049  00242 |Loss: 1.443 | Acc: 28.125% 
049  00243 |Loss: 1.457 | Acc: 25.000% 
049  00244 |Loss: 1.406 | Acc: 28.906% 
049  00245 |Loss: 1.439 | Acc: 29.333% 
050  00246 |Loss: 1.342 | Acc: 31.250% 
050  00247 |Loss: 1.444 | Acc: 29.688% 
050  00248 |Loss: 1.455 | Acc: 27.083% 
050  00249 |Loss: 1.460 | Acc: 27.344% 
050  00250 |Loss: 1.431 | Acc: 29.333% 
051  00251 |Loss: 1.466 | Acc: 34.375% 
051  00252 |Loss: 1.471 | Acc: 29.688% 
051  00253 |Loss: 1.442 | Acc: 28.125% 
051  00254 |Loss: 1.417 | Acc: 28.125% 
051  00255 |Loss: 1.405 | Acc: 31.333% 
052  00256 |Loss: 1.245 | Acc: 37.500% 
052  00257 |Loss: 1.335 | Acc: 28.125% 
052  00258 |Loss: 1.358 | Acc: 27.083% 
052  00259 |Loss: 1.427 | Acc: 29.688% 
052  00260 |Loss: 1.415 | Acc: 29.333% 
